Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ANIK,Anika Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,169520000.0,,11.82,0.0323,23340.0
ANIX,Anixa Biosciences Inc,Healthcare,Biotechnology,USA,91960000.0,,2.86,-0.0121,25903.0
ANL,Adlai Nortye Ltd. ADR,Healthcare,Biotechnology,China,53730000.0,,1.72,0.0683,5288.0
ANNX,Annexon Inc,Healthcare,Biotechnology,USA,247400000.0,,2.26,0.0637,308402.0
ANRO,Alto Neuroscience Inc,Healthcare,Biotechnology,USA,67410000.0,,2.49,-0.042300000000000004,897597.0
ANVS,Annovis Bio Inc,Healthcare,Biotechnology,USA,52150000.0,,2.68,0.0137,230382.0
AOMR,Angel Oak Mortgage REIT Inc,Real Estate,REIT - Mortgage,USA,211280000.0,5.98,8.99,0.0125,25825.0
AOUT,American Outdoor Brands Inc,Consumer Cyclical,Leisure,USA,149320000.0,,11.73,0.004699999999999999,8037.0
AP,Ampco-Pittsburgh Corp,Industrials,Metal Fabrication,USA,71840000.0,16.63,3.58,0.030299999999999997,214888.0
API,Agora Inc ADR,Technology,Software - Application,China,271760000.0,,3.65,0.0547,178589.0
APLT,Applied Therapeutics Inc,Healthcare,Biotechnology,USA,50730000.0,,0.36,0.0067,748884.0
APT,Alpha Pro Tech Ltd,Industrials,Building Products & Equipment,Canada,55950000.0,14.43,5.15,0.0279,34714.0
APYX,Apyx Medical Corp,Healthcare,Medical Devices,USA,60100000.0,,1.59,-0.018500000000000003,5193.0
ARAI,Arrive AI Inc,Technology,Software - Infrastructure,USA,191860000.0,,6.4,0.0339,277959.0
ARAY,Accuray Inc,Healthcare,Medical Devices,USA,158640000.0,261.02,1.54,-0.006500000000000001,422586.0
ARBE,Arbe Robotics Ltd,Technology,Software - Infrastructure,Israel,179830000.0,,1.71,0.0118,501717.0
AREC,American Resources Corporation,Basic Materials,Coking Coal,USA,62700000.0,,0.76,0.032799999999999996,800598.0
AREN,Arena Group Holdings Inc,Communication Services,Internet Content & Information,USA,234000000.0,87.86,4.92,0.0446,112333.0
ARL,American Realty Investors Inc,Real Estate,Real Estate Services,USA,237840000.0,,14.73,0.0197,428.0
ARMP,Armata Pharmaceuticals Inc,Healthcare,Biotechnology,USA,70400000.0,,1.95,0.0026,12172.0
ARQ,Arq Inc,Industrials,Pollution & Treatment Controls,USA,216970000.0,,5.14,0.0059,98761.0
ASMB,Assembly Biosciences Inc,Healthcare,Biotechnology,USA,119260000.0,,15.61,0.013999999999999999,7652.0
ASPC,A SPAC III Acquisition Corp,Financial,Shell Companies,Hong Kong,81710000.0,3383.33,10.15,-0.002,1.0
ASPS,Altisource Portfolio Solutions S.A,Real Estate,Real Estate Services,Luxembourg,66599999.99999999,,5.99,-0.022799999999999997,1533.0
ASRT,Assertio Holdings Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,63000000.0,,0.66,0.0017000000000000001,32722.0
ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,107260000.0,,6.47,-0.0791,3231972.0
ASUR,Asure Software Inc,Technology,Software - Application,USA,265019999.99999997,,9.76,0.015600000000000001,4768.0
ASYS,Amtech Systems Inc,Technology,Semiconductor Equipment & Materials,USA,56820000.0,,3.97,-0.005,5651.0
ATHE,Alterity Therapeutics Ltd ADR,Healthcare,Biotechnology,Australia,70350000.0,,4.62,0.005600000000000001,4613.0
ATHR,Aether Holdings Inc,Technology,Software - Application,USA,197670000.0,,16.33,0.0184,5673.0
ATII,Archimedes Tech SPAC Partners II Co,Financial,Shell Companies,USA,299450000.0,279.56,10.12,0.0,0.0
ATLN,Atlantic International Corp,Industrials,Staffing & Employment Services,USA,150020000.0,,2.57,0.0239,6463.0
ATLO,Ames National Corp,Financial,Banks - Regional,USA,156030000.0,13.8,17.5,0.0029,852.0
ATLX,Atlas Lithium Corporation,Basic Materials,Other Industrial Metals & Mining,Brazil,70640000.0,,3.96,0.0366,62122.0
ATNI,ATN International Inc,Communication Services,Telecom Services,USA,227640000.0,,14.96,0.008100000000000001,4869.0
ATNM,Actinium Pharmaceuticals Inc,Healthcare,Biotechnology,USA,52100000.0,,1.67,0.030899999999999997,90360.0
ATOM,Atomera Inc,Technology,Semiconductor Equipment & Materials,USA,190060000.0,,6.19,0.016399999999999998,163370.0
ATOS,Atossa Therapeutics Inc,Healthcare,Biotechnology,USA,114080000.0,,0.88,0.0189,256289.0
ATPC,Agape ATP Corp,Consumer Defensive,Packaged Foods,Malaysia,80510000.0,,1.61,0.010700000000000001,36754.0
ATRA,Atara Biotherapeutics Inc,Healthcare,Biotechnology,USA,54640000.0,,8.04,0.005,16932.0
ATXS,Astria Therapeutics Inc,Healthcare,Biotechnology,USA,288380000.0,,5.11,0.069,83349.0
AUDC,Audiocodes,Technology,Communication Equipment,Israel,284480000.0,17.0,9.59,0.01,23109.0
AUID,authID Inc,Technology,Software - Infrastructure,USA,68700000.0,,5.11,-0.0078000000000000005,16249.0
AVD,American Vanguard Corp,Basic Materials,Agricultural Inputs,USA,165410000.0,,4.76,0.0325,55090.0
AVIR,Atea Pharmaceuticals Inc,Healthcare,Biotechnology,USA,280280000.0,,3.28,0.0565,228420.0
AVR,Anteris Technologies Global Corp,Healthcare,Medical Instruments & Supplies,Australia,161190000.0,,4.47,-0.0346,23813.0
AXTI,AXT Inc,Technology,Semiconductor Equipment & Materials,USA,76840000.0,,1.68,0.0732,287786.0
AZUL,Azul S.A. ADR,Industrials,Airlines,Brazil,149300000.0,,0.5,0.0,0.0
BAER,Bridger Aerospace Group Holdings Inc,Industrials,Security & Protection Services,USA,94700000.0,,1.73,-0.0115,140260.0
BAFN,BayFirst Financial Corp,Financial,Banks - Regional,USA,64430000.00000001,6.98,15.6,0.0321,1208.0
BARK,BARK Inc,Consumer Cyclical,Specialty Retail,USA,230880000.0,,1.32,0.0645,365340.0
BAYA,Bayview Acquisition Corp,Financial,Shell Companies,USA,59910000.0,62.77,11.01,-0.0018,59977.0
BCBP,BCB Bancorp Inc (NJ),Financial,Banks - Regional,USA,137640000.0,53.08,8.02,0.0178,24758.0
BCV,Bancroft Fund Ltd,Financial,Closed-End Fund - Debt,USA,106390000.0,7.59,18.15,0.0089,3446.0
BDMD,Baird Medical Investment Holdings Limited,Healthcare,Medical Devices,China,156130000.0,,4.37,-0.0091,3504.0
BDTX,Black Diamond Therapeutics Inc,Healthcare,Biotechnology,USA,138460000.0,39.47,2.43,0.0274,579760.0
BEAT,HeartBeam Inc,Healthcare,Health Information Services,USA,58830000.0,,1.74,-0.0387,52308.0
BEEP,Mobile Infrastructure Corp,Industrials,Infrastructure Operations,USA,163660000.0,,3.86,-0.046900000000000004,3309.0
BETR,Better Home & Finance Holding Co,Financial,Mortgage Finance,USA,182450000.0,,12.0,-0.058499999999999996,38655.0
BFIN,Bankfinancial Corp,Financial,Banks - Regional,USA,147040000.0,33.09,11.8,-0.0008,2101.0
BGH,Barings Global Short Duration High Yield Fund,Financial,Closed-End Fund - Debt,USA,298760000.0,7.09,14.89,0.004699999999999999,30297.0
BGX,Blackstone Long-Short Credit Income Fund,Financial,Closed-End Fund - Debt,USA,154410000.0,9.42,12.15,-0.0016,22500.0
BHR,Braemar Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,USA,157560000.0,,2.35,-0.0126,188393.0
BHST,BioHarvest Sciences Inc,Consumer Defensive,Packaged Foods,Canada,115680000.0,,6.68,-0.0111,1407.0
BIOA,BioAge Labs Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,143760000.0,,4.01,-0.009899999999999999,806788.0
BIOX,Bioceres Crop Solutions Corp,Basic Materials,Agricultural Inputs,Argentina,298820000.0,,4.76,-0.0073,37669.0
BIRD,Allbirds Inc,Consumer Cyclical,Apparel Retail,USA,57330000.0,,7.11,0.018600000000000002,9848.0
BIYA,Baiya International Group Inc,Technology,Software - Application,China,60730000.0,,4.85,0.0277,33868.0
BKHA,Black Hawk Acquisition Corp,Financial,Shell Companies,USA,94660000.0,36.34,10.6,0.0,0.0
BKKT,Bakkt Holdings Inc,Technology,Software - Infrastructure,USA,180850000.0,,13.0,0.1246,313312.0
BKN,BlackRock Investment Quality Municipal Trust,Financial,Closed-End Fund - Debt,USA,185650000.0,51.38,10.79,-0.0009,16439.0
BKT,BlackRock Income Trust Inc,Financial,Closed-End Fund - Debt,USA,280330000.0,82.43,11.54,0.0026,20154.0
BLDE,Blade Air Mobility Inc,Industrials,Airports & Air Services,USA,290850000.0,,3.59,0.0199,160482.0
BLFY,Blue Foundry Bancorp,Financial,Banks - Regional,USA,195490000.0,,9.0,0.013500000000000002,1629.0
BLNK,Blink Charging Co,Industrials,Engineering & Construction,USA,82430000.0,,0.8,0.1281,2427416.0
BMEA,Biomea Fusion Inc,Healthcare,Biotechnology,USA,76090000.0,,2.03,0.3065,35651872.0
BMGL,Basel Medical Group Ltd,Healthcare,Medical Care Facilities,Singapore,85490000.0,48.1,4.55,0.1607,17347474.0
BNY,BlackRock New York Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,232850000.0,,9.65,0.0005,25049.0
BOOM,DMC Global Inc,Industrials,Conglomerates,USA,145690000.0,,7.11,0.0724,99503.0
BOTJ,Bank of the James Financial Group Inc,Financial,Banks - Regional,USA,64400000.00000001,9.76,14.18,-0.0087,751.0
BRAG,Bragg Gaming Group Inc,Consumer Cyclical,Gambling,Canada,109310000.0,,4.36,0.0023,3241.0
BRIA,BrilliA Inc,Consumer Cyclical,Apparel Retail,Singapore,75030000.0,0.03,2.45,-0.0101,10364.0
BRID,Bridgford Foods Corp,Consumer Defensive,Packaged Foods,USA,69890000.0,,7.7,-0.043,123.0
BRLS,Borealis Foods Inc,Consumer Defensive,Packaged Foods,Canada,78900000.0,,3.69,0.0171,21084.0
BRLT,Brilliant Earth Group Inc,Consumer Cyclical,Luxury Goods,USA,146490000.0,,1.48,0.0461,25230.0
BROG,Brooge Energy Limited,Energy,Oil & Gas Midstream,United Arab Emirates,147100000.0,33.17,1.64,0.16449999999999998,224549.0
BRY,Berry Corp,Energy,Oil & Gas E&P,USA,208350000.0,,2.68,0.11410000000000001,595326.0
BSBK,Bogota Financial Corp,Financial,Banks - Regional,USA,92360000.0,,7.1,0.0029,4351.0
BSET,Bassett Furniture Industries Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,142660000.0,,16.39,0.0012,394.0
